"lake","year","ba","type","size","times_treat","type_times_treat","period","event","site","tl","tlgroup","count","date","size_class"
"ae1","2017","before","control",1.6,"0","control","after",1,9,NA,"125",0,"5/26","small"
"ae1","2017","before","control",1.6,"0","control","after",1,10,NA,"0",5,"5/26","small"
"ae1","2017","before","control",1.6,"0","control","after",1,10,NA,"25",2,"5/26","small"
"ae1","2017","before","control",1.6,"0","control","after",1,10,NA,"50",0,"5/26","small"
"ae1","2017","before","control",1.6,"0","control","after",1,10,NA,"75",0,"5/26","small"
"ae1","2017","before","control",1.6,"0","control","after",1,10,NA,"100",0,"5/26","small"
"ae1","2017","before","control",1.6,"0","control","after",1,10,NA,"125",0,"5/26","small"
"ae1","2017","before","control",1.6,"0","control","after",1,11,NA,"0",0,"5/26","small"
"ae1","2017","before","control",1.6,"0","control","after",1,11,NA,"25",0,"5/26","small"
"ae1","2017","before","control",1.6,"0","control","after",1,11,NA,"50",0,"5/26","small"
"ae1","2017","before","control",1.6,"0","control","after",1,11,NA,"75",0,"5/26","small"
"ae1","2017","before","control",1.6,"0","control","after",1,11,NA,"100",0,"5/26","small"
"ae1","2017","before","control",1.6,"0","control","after",1,11,NA,"125",0,"5/26","small"
"ae1","2017","before","control",1.6,"0","control","after",1,12,NA,"0",15,"5/26","small"
"ae1","2017","before","control",1.6,"0","control","after",1,12,NA,"25",2,"5/26","small"
"ae1","2017","before","control",1.6,"0","control","after",1,12,NA,"50",0,"5/26","small"
"ae1","2017","before","control",1.6,"0","control","after",1,12,NA,"75",0,"5/26","small"
"ae1","2017","before","control",1.6,"0","control","after",1,12,NA,"100",0,"5/26","small"
"ae1","2017","before","control",1.6,"0","control","after",1,12,NA,"125",0,"5/26","small"
"ae1","2017","before","control",1.6,"0","control","after",1,13,NA,"0",10,"5/26","small"
"ae1","2017","before","control",1.6,"0","control","after",1,13,NA,"25",9,"5/26","small"
"ae1","2017","before","control",1.6,"0","control","after",1,13,NA,"50",7,"5/26","small"
"ae1","2017","before","control",1.6,"0","control","after",1,13,NA,"75",0,"5/26","small"
"ae1","2017","before","control",1.6,"0","control","after",1,13,NA,"100",0,"5/26","small"
"ae1","2017","before","control",1.6,"0","control","after",1,13,NA,"125",0,"5/26","small"
"ae1","2017","before","control",1.6,"0","control","after",1,14,NA,"0",1,"5/26","small"
"ae1","2017","before","control",1.6,"0","control","after",1,14,NA,"25",2,"5/26","small"
"ae1","2017","before","control",1.6,"0","control","after",1,14,NA,"50",1,"5/26","small"
"ae1","2017","before","control",1.6,"0","control","after",1,14,NA,"75",0,"5/26","small"
"ae1","2017","before","control",1.6,"0","control","after",1,14,NA,"100",0,"5/26","small"
"ae1","2017","before","control",1.6,"0","control","after",1,14,NA,"125",0,"5/26","small"
"ae1","2017","before","control",1.6,"0","control","after",1,15,NA,"0",1,"5/26","small"
"ae1","2017","before","control",1.6,"0","control","after",1,15,NA,"25",5,"5/26","small"
"ae1","2017","before","control",1.6,"0","control","after",1,15,NA,"50",2,"5/26","small"
"ae1","2017","before","control",1.6,"0","control","after",1,15,NA,"75",0,"5/26","small"
"ae1","2017","before","control",1.6,"0","control","after",1,15,NA,"100",0,"5/26","small"
"ae1","2017","before","control",1.6,"0","control","after",1,15,NA,"125",0,"5/26","small"
"ae1","2017","before","control",1.6,"0","control","before",2,1,NA,"0",90,"6/15","small"
"ae1","2017","before","control",1.6,"0","control","before",2,1,NA,"25",12,"6/15","small"
"ae1","2017","before","control",1.6,"0","control","before",2,1,NA,"50",4,"6/15","small"
"ae1","2017","before","control",1.6,"0","control","before",2,1,NA,"75",0,"6/15","small"
"ae1","2017","before","control",1.6,"0","control","before",2,1,NA,"100",0,"6/15","small"
"ae1","2017","before","control",1.6,"0","control","before",2,1,NA,"125",0,"6/15","small"
"ae1","2017","before","control",1.6,"0","control","before",2,2,NA,"0",0,"6/15","small"
"ae1","2017","before","control",1.6,"0","control","before",2,2,NA,"25",8,"6/15","small"
"ae1","2017","before","control",1.6,"0","control","before",2,2,NA,"50",2,"6/15","small"
"ae1","2017","before","control",1.6,"0","control","before",2,2,NA,"75",0,"6/15","small"
"ae1","2017","before","control",1.6,"0","control","before",2,2,NA,"100",0,"6/15","small"
"ae1","2017","before","control",1.6,"0","control","before",2,2,NA,"125",0,"6/15","small"
"ae1","2017","before","control",1.6,"0","control","before",2,3,NA,"0",4,"6/15","small"
"ae1","2017","before","control",1.6,"0","control","before",2,3,NA,"25",16,"6/15","small"
"ae1","2017","before","control",1.6,"0","control","before",2,3,NA,"50",0,"6/15","small"
"ae1","2017","before","control",1.6,"0","control","before",2,3,NA,"75",0,"6/15","small"
